User Phrase (Youth Tone);System Prompt (Clarification);User Response (Follow-Up);Intent
Coach told me to just chill and swing.;Cool — was that part of your routine?;It helped me feel more focused.;Routine.PreShot
Visualization helped me big time there.;Cool — was that part of your routine?;Definitely boosted my confidence.;Coach.Response.Encouragement
I was kinda nervous but went for it.;Want to include how you bounced back?;It helped me feel more focused.;Journal.Game.Struggle
I focused real hard before that drive.;Want to include how you bounced back?;Definitely boosted my confidence.;ShotLog.Technical.Club.7Iron
I focused real hard before that drive.;Should I tag this as junior feedback?;Yep, did my whole pre-shot thing.;Coach.Response.Encouragement
I was kinda nervous but went for it.;Should I tag this as junior feedback?;Felt great to bounce back after that.;Performance.Feedback.Self
Guess what? I birdied hole 3!;Would you like to log a cue used there?;Felt great to bounce back after that.;ShotLog.Technical.Club.7Iron
Coach told me to just chill and swing.;Awesome. Which hole was that on?;I think I stayed pretty calm.;Routine.PreShot
My brain was like, 'you got this!';Is this a journal entry for today?;Definitely boosted my confidence.;Performance.Feedback.Self
Guess what? I birdied hole 3!;Awesome. Which hole was that on?;Yep, did my whole pre-shot thing.;ShotLog.Technical.Club.7Iron
Ugh, I totally messed that up.;Awesome. Which hole was that on?;Yeah, I used my 7 iron for that.;Coach.Response.Encouragement
Guess what? I birdied hole 3!;Okay, should I mark that as a miss?;It helped me feel more focused.;Journal.Game.Struggle
I focused real hard before that drive.;Okay, should I mark that as a miss?;It was on hole 14, par 3.;Mindset.Confidence.Boost
Man, that shot felt awesome!;Is this a journal entry for today?;Yeah, log it under junior stuff.;Log.Score.Hole.14
Man, that shot felt awesome!;Shall I mark that as a confidence boost?;It was on hole 14, par 3.;Junior.Motivation
Visualization helped me big time there.;Would you like to log a cue used there?;I think I stayed pretty calm.;Mindset.Confidence.Boost
Ugh, I totally messed that up.;Okay, should I mark that as a miss?;Felt great to bounce back after that.;Journal.OffDay.Reflection
Visualization helped me big time there.;Should I tag this as junior feedback?;I took a deep breath before swinging.;Mindset.Confidence.Boost
Man, that shot felt awesome!;Awesome. Which hole was that on?;Definitely boosted my confidence.;Journal.Game.Struggle
Man, that shot felt awesome!;Noted. Want to rate your mindset?;It was on hole 14, par 3.;Journal.OffDay.Reflection
I was kinda nervous but went for it.;Got it — logging that. Want to add the club?;It was on hole 14, par 3.;Performance.Feedback.Self
I wasn't feelin' it but did it anyway.;Awesome. Which hole was that on?;Yep, did my whole pre-shot thing.;Cue.Visualization
Guess what? I birdied hole 3!;Noted. Want to rate your mindset?;I think I stayed pretty calm.;ShotLog.Technical.Club.7Iron
Coach told me to just chill and swing.;Is this a journal entry for today?;Yep, did my whole pre-shot thing.;Journal.OffDay.Reflection
Coach told me to just chill and swing.;Got it — logging that. Want to add the club?;Felt great to bounce back after that.;Cue.Visualization
Coach told me to just chill and swing.;Shall I mark that as a confidence boost?;I took a deep breath before swinging.;ShotLog.Technical.Club.7Iron
Ugh, I totally messed that up.;Got it — logging that. Want to add the club?;Definitely boosted my confidence.;Mindset.Confidence.Boost
Not my best day, but I didn't give up.;Got it — logging that. Want to add the club?;Definitely boosted my confidence.;Log.Score.Hole.14
I wasn't feelin' it but did it anyway.;Shall I mark that as a confidence boost?;Yeah, I used my 7 iron for that.;Journal.Game.Struggle
Ugh, I totally messed that up.;Noted. Want to rate your mindset?;I took a deep breath before swinging.;Journal.OffDay.Reflection
Guess what? I birdied hole 3!;Cool — was that part of your routine?;Yeah, log it under junior stuff.;Log.Score.Hole.14
Ugh, I totally messed that up.;Shall I mark that as a confidence boost?;I think I stayed pretty calm.;Journal.OffDay.Reflection
I wasn't feelin' it but did it anyway.;Shall I mark that as a confidence boost?;Yeah, I used my 7 iron for that.;Coach.Response.Encouragement
I was kinda nervous but went for it.;Would you like to log a cue used there?;Felt great to bounce back after that.;ShotLog.Technical.Club.7Iron
I was kinda nervous but went for it.;Would you like to log a cue used there?;That was my round reflection.;Journal.OffDay.Reflection
I was kinda nervous but went for it.;Cool — was that part of your routine?;Felt great to bounce back after that.;Journal.Game.Struggle
Man, that shot felt awesome!;Is this a journal entry for today?;It was on hole 14, par 3.;Mindset.Confidence.Boost
Ugh, I totally messed that up.;Cool — was that part of your routine?;Yeah, log it under junior stuff.;ShotLog.Technical.Club.7Iron
Not my best day, but I didn't give up.;Would you like to log a cue used there?;It helped me feel more focused.;Coach.Response.Encouragement
Not my best day, but I didn't give up.;Want to include how you bounced back?;Yeah, log it under junior stuff.;Junior.Motivation
Guess what? I birdied hole 3!;Should I tag this as junior feedback?;I think I stayed pretty calm.;Coach.Response.Encouragement
Coach told me to just chill and swing.;Should I tag this as junior feedback?;Yep, did my whole pre-shot thing.;Cue.Visualization
Ugh, I totally messed that up.;Want to include how you bounced back?;Felt great to bounce back after that.;Performance.Feedback.Self
I wasn't feelin' it but did it anyway.;Should I tag this as junior feedback?;That was my round reflection.;Cue.Visualization
My brain was like, 'you got this!';Cool — was that part of your routine?;I took a deep breath before swinging.;Coach.Response.Encouragement
Visualization helped me big time there.;Shall I mark that as a confidence boost?;Yeah, I used my 7 iron for that.;Mindset.Confidence.Boost
Coach told me to just chill and swing.;Okay, should I mark that as a miss?;I took a deep breath before swinging.;Log.Score.Hole.14
I was kinda nervous but went for it.;Awesome. Which hole was that on?;Definitely boosted my confidence.;Journal.Game.Struggle
Man, that shot felt awesome!;Should I tag this as junior feedback?;Definitely boosted my confidence.;Journal.Game.Struggle
My brain was like, 'you got this!';Shall I mark that as a confidence boost?;That was my round reflection.;Performance.Feedback.Self
Coach told me to just chill and swing.;Okay, should I mark that as a miss?;Definitely boosted my confidence.;Coach.Response.Encouragement
Not my best day, but I didn't give up.;Would you like to log a cue used there?;I think I stayed pretty calm.;Cue.Visualization
I focused real hard before that drive.;Should I tag this as junior feedback?;Yeah, log it under junior stuff.;Junior.Motivation
My brain was like, 'you got this!';Is this a journal entry for today?;Definitely boosted my confidence.;Coach.Response.Encouragement
My brain was like, 'you got this!';Should I tag this as junior feedback?;That was my round reflection.;Coach.Response.Encouragement
I focused real hard before that drive.;Okay, should I mark that as a miss?;Definitely boosted my confidence.;Mindset.Confidence.Boost
My brain was like, 'you got this!';Shall I mark that as a confidence boost?;That was my round reflection.;Log.Score.Hole.14
Man, that shot felt awesome!;Noted. Want to rate your mindset?;That was my round reflection.;Mindset.Confidence.Boost
Man, that shot felt awesome!;Shall I mark that as a confidence boost?;Yeah, log it under junior stuff.;Journal.Game.Struggle
Coach told me to just chill and swing.;Cool — was that part of your routine?;It helped me feel more focused.;Performance.Feedback.Self
Visualization helped me big time there.;Cool — was that part of your routine?;Definitely boosted my confidence.;Journal.OffDay.Reflection
Visualization helped me big time there.;Want to include how you bounced back?;Felt great to bounce back after that.;Mindset.Confidence.Boost
Ugh, I totally messed that up.;Awesome. Which hole was that on?;Yep, did my whole pre-shot thing.;Performance.Feedback.Self
I wasn't feelin' it but did it anyway.;Cool — was that part of your routine?;Yeah, log it under junior stuff.;Mindset.Confidence.Boost
My brain was like, 'you got this!';Cool — was that part of your routine?;Definitely boosted my confidence.;Junior.Motivation
Visualization helped me big time there.;Okay, should I mark that as a miss?;Felt great to bounce back after that.;Performance.Feedback.Self
I was kinda nervous but went for it.;Noted. Want to rate your mindset?;Yep, did my whole pre-shot thing.;Performance.Feedback.Self
I wasn't feelin' it but did it anyway.;Noted. Want to rate your mindset?;It was on hole 14, par 3.;Cue.Visualization
Man, that shot felt awesome!;Cool — was that part of your routine?;Yep, did my whole pre-shot thing.;Journal.OffDay.Reflection
I wasn't feelin' it but did it anyway.;Cool — was that part of your routine?;Yeah, I used my 7 iron for that.;Coach.Response.Encouragement
My brain was like, 'you got this!';Is this a journal entry for today?;I took a deep breath before swinging.;Log.Score.Hole.14
My brain was like, 'you got this!';Would you like to log a cue used there?;It helped me feel more focused.;Mindset.Confidence.Boost
Coach told me to just chill and swing.;Got it — logging that. Want to add the club?;Yeah, I used my 7 iron for that.;Mindset.Confidence.Boost
Not my best day, but I didn't give up.;Shall I mark that as a confidence boost?;Felt great to bounce back after that.;Log.Score.Hole.14
Not my best day, but I didn't give up.;Should I tag this as junior feedback?;I took a deep breath before swinging.;Junior.Motivation
Not my best day, but I didn't give up.;Shall I mark that as a confidence boost?;I took a deep breath before swinging.;Log.Score.Hole.14
Guess what? I birdied hole 3!;Okay, should I mark that as a miss?;That was my round reflection.;Mindset.Confidence.Boost
Visualization helped me big time there.;Got it — logging that. Want to add the club?;Yep, did my whole pre-shot thing.;ShotLog.Technical.Club.7Iron
Ugh, I totally messed that up.;Would you like to log a cue used there?;Yep, did my whole pre-shot thing.;Mindset.Confidence.Boost
Ugh, I totally messed that up.;Want to include how you bounced back?;I think I stayed pretty calm.;Log.Score.Hole.14
I wasn't feelin' it but did it anyway.;Want to include how you bounced back?;Definitely boosted my confidence.;Routine.PreShot
Guess what? I birdied hole 3!;Want to include how you bounced back?;Yep, did my whole pre-shot thing.;Journal.Game.Struggle
I focused real hard before that drive.;Noted. Want to rate your mindset?;I took a deep breath before swinging.;Routine.PreShot
